district_name,district_code,cola_2020_21,cola_2021_22,cola_2022_23,cola_2023_24,salary_avg_2020_21,salary_avg_2021_22,salary_avg_2022_23,upper_left_2020_21,upper_left_2021_22,upper_left_2022_23,lower_right_2020_21,lower_right_2021_22,lower_right_2022_23,total_exp_2021_22,total_exp_2020_21,total_enrollment_2021_22,total_enrollment_2020_21,instructional_services,administration,pupil_services,operations_and_maintenance,insurance_retirement_programs_and_other,disabled_pct,pct_health_insurance_paid,grade_pk,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_sp,years_exp,years_as_super,fy2021_salary,total_comp_pkg,years_current_contract
Rockland,02510000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40376643.1,2118,2179,9059.418689,537.2535705,1336.363796,883.9950057,3836.392272,18.6,NA,38,132,164,172,156,182,184,195,193,193,144,145,140,136,5,5,5,196000,210000,5
Rockport,02520000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19138687,748,762,12326.96522,506.6019877,1260.093469,926.7581637,4567.01964,22,NA,8,41,38,49,53,52,64,67,68,67,72,60,57,66,0,16,8,159243,1854,2
Rowe,02530000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2415052.16,65,63,14156.24986,1018.724521,2292.087945,2114.149726,6424.968219,33.3,NA,0,5,12,6,11,14,5,10,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Roxbury Preparatory Charter (District),04840000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30033935.33,1521,1596,NA,NA,NA,NA,NA,14.8,NA,0,0,0,0,0,0,148,282,264,254,238,171,139,100,0,NA,NA,NA,NA,NA
Sabis International Charter (District),04410000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21874016.11,NA,1557,NA,NA,NA,NA,NA,15.3,NA,0,105,111,120,156,128,129,157,129,123,108,91,99,101,0,NA,NA,NA,NA,NA
Salem,02580000,NA,0.02,0.02,0.03,76381.84,78291.37,79857.26,NA,49502,50368,106678,109345,111532,NA,92800221.09,3665,3734,13590.36854,964.7629127,1826.656457,1198.764281,3509.394297,22.9,0.8,48,294,321,328,339,350,333,275,265,251,251,223,203,246,7,8,1,218000,218000,3
Salem Academy Charter (District),04850000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8732560.97,495,495,NA,NA,NA,NA,NA,17.6,NA,0,0,0,0,0,0,0,72,73,72,74,75,70,59,0,NA,NA,NA,NA,NA
Sandwich,02610000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53746813,2288,2326,10361.3284,739.4463654,1404.729817,1681.205774,4138.898762,19.4,NA,63,140,151,185,174,167,192,179,212,222,150,166,165,156,4,5,5,183423,183423,6
Saugus,02620000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49157200.41,2436,2297,9088.852971,457.2731415,1201.313532,813.7573027,4523.520901,18.6,NA,28,65,161,172,195,178,195,200,217,206,172,160,176,167,5,10,5,185710,188210,3
Savoy,02630000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1370674.84,51,44,10085.35675,1047.22827,1418.379066,1745.24827,4495.533045,20.5,NA,4,4,3,4,9,6,5,9,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Scituate,02640000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50671382.48,2772,2851,10581.89138,434.8143841,1287.97578,863.5721724,2507.327757,14.5,NA,51,182,211,226,217,200,206,213,203,221,211,196,260,252,2,NA,NA,NA,NA,NA
Seekonk,02650000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36141024.13,2075,2047,9995.219381,672.8920576,1210.639957,1495.028734,2749.657448,16.8,NA,48,148,153,156,159,168,149,146,149,183,130,144,164,150,0,3,3,173747,176147,5
Sharon,02660000,NA,NA,0.02,0.02,NA,72262.4,73707.64,NA,48820.89,49797.31,NA,105457.67,107566.82,NA,65866489.25,3537,3493,10225.52689,507.6643701,1830.211382,933.2078281,3128.932242,14.4,0.5,31,192,239,258,245,254,272,292,291,288,277,281,301,272,0,1,1,160000,160000,2
Shawsheen Valley Regional Vocational Technical,08710000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30464244.82,1317,1308,13996.96293,1120.960076,2556.73544,1326.722117,5082.243346,29.7,NA,0,0,0,0,0,0,0,0,0,0,357,307,329,315,0,17,1,220000,220000,2
Sherborn,02690000,0.0175,0.02,0.02,NA,77074,78815,80617,51051,52272,53542,115160,117663,120241,NA,9085872,403,391,13002.73364,795.6822024,872.2844723,1462.103357,2799.082347,14.1,0.7,13,55,68,64,50,77,64,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Shrewsbury,02710000,0.029,0.02,NA,NA,72231,73675,NA,50067,51069,NA,100995,103015,NA,NA,93479931.29,5885,5974,8984.768358,370.8650778,1371.079792,775.4743188,2034.751627,14.3,0.4,110,287,407,434,430,484,473,491,502,483,459,480,470,464,0,13,13,198247,217601,5
Shutesbury,02720000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3022915.67,115,112,14561.06571,937.6442308,1815.240385,1915.689103,3962.769792,16.1,NA,10,11,19,12,9,16,12,23,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Silver Lake,07600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31631920.2,1691,1698,11086.25268,626.109081,1196.163103,2070.515404,2562.481374,17,NA,99,0,0,0,0,0,0,0,264,259,257,279,267,266,7,1,1,180540,NA,2
Sizer School: A North Central Charter Essential (District),04740000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6406786.21,350,366,NA,NA,NA,NA,NA,27,NA,0,0,0,0,0,0,0,0,68,71,69,59,47,52,0,1,1,158700,12500,3
Somerset,02730000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29136541.1,1646,1606,8700.731864,413.4092928,1045.900809,969.7910261,3762.052386,18.6,NA,35,131,143,158,172,193,160,179,223,212,0,0,0,0,0,NA,NA,NA,NA,NA
Somerset Berkley Regional School District,07630000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17251229.28,996,1007,NA,NA,NA,NA,NA,17.7,NA,0,0,0,0,0,0,0,0,0,0,257,247,249,247,7,7,7,158400,160900,5
Somerville,02740000,0.03,0.03,NA,NA,78084,88693,NA,53051,60259,NA,108587,123340,NA,NA,114885290.3,4673,4691,12673.63079,799.0093903,1741.318424,1659.085161,3085.96629,19.5,0.5,228,393,396,379,340,330,362,344,316,332,343,303,336,278,11,6,6,245064,245064,5
South Hadley,02780000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32521197.06,1763,1763,9020.313722,512.4585096,1474.93448,1008.534286,2460.559886,20.6,NA,63,81,111,148,127,143,124,125,123,147,140,141,135,146,9,1.5,2,138000,NA,2
South Middlesex Regional Vocational Technical,08290000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20224304.85,850,817,14720.75606,1210.149628,2224.163728,3210.391134,4134.986984,39.7,NA,0,0,0,0,0,0,0,0,0,0,226,204,212,175,0,NA,NA,NA,NA,NA
South Shore Charter Public (District),04880000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16898907.51,1050,1009,NA,NA,NA,NA,NA,19.1,NA,0,44,76,79,80,79,79,82,84,82,86,91,71,76,0,NA,NA,NA,NA,NA
South Shore Regional Vocational Technical,08730000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13588068.61,655,646,12528.00014,1151.592177,2792.247836,1911.778546,3004.809775,27.1,NA,0,0,0,0,0,0,0,0,0,0,168,162,161,155,0,NA,NA,NA,NA,NA
Southampton,02750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7387668.12,466,448,8349.792846,412.3897967,923.9726423,739.5211789,2105.985772,22,NA,26,62,59,61,55,76,56,53,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Southborough,02760000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26830387.3,1247,1216,12609.8406,575.4582031,1101.501766,1572.724813,3534.686859,15.1,NA,84,104,142,120,133,123,129,127,124,130,0,0,0,0,0,NA,NA,NA,NA,NA
Southbridge,02770000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40838915.82,1805,1866,11178.79066,841.1616031,2471.354766,1316.493342,2583.583113,21.4,NA,53,142,158,136,161,153,131,139,155,142,182,117,111,86,0,12,3,213127,213127,3
Southeastern Regional Vocational Technical,08720000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32524911,1550,1527,13280.51246,729.6683283,2010.767697,2387.972748,3194.963111,13.8,NA,0,0,0,0,0,0,0,0,0,0,410,399,357,361,0,NA,NA,NA,NA,NA
Southern Berkshire,07650000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18001442.78,633,645,13235.72323,1085.672284,3729.926341,1808.026072,5394.599313,15.8,NA,38,63,47,44,34,50,44,43,35,57,35,54,50,51,0,NA,NA,NA,NA,NA
Southern Worcester County Regional Vocational Technical,08760000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21923254.39,1173,1171,12097.30156,636.4816118,1986.682597,1444.257434,2960.539328,13.7,NA,0,0,0,0,0,0,0,0,0,0,314,293,291,273,0,NA,NA,NA,NA,NA
Southwick-Tolland-Granville Regional School District,07660000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25448926.85,1359,1393,NA,NA,NA,NA,NA,17.2,NA,28,80,85,102,88,100,112,125,122,124,104,101,121,101,0,5,5,156642,156642,3
Spencer-E Brookfield,07670000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27842532.58,1395,1331,8782.835046,1151.738313,1772.769977,1198.055689,3107.169203,23.9,NA,47,85,118,95,117,128,88,107,128,120,92,79,64,60,3,3,3,155000,NA,3
Springfield,02810000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512527010.2,23799,24239,10527.3462,406.7533548,2148.367389,1092.905444,3001.445644,24.7,NA,1219,1589,1895,1877,1805,1847,1721,1630,1742,1708,2049,1848,1608,1559,142,NA,NA,NA,NA,NA
Springfield International Charter (District),04410000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield Preparatory Charter School (District),35100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5380429.8,433,378,NA,NA,NA,NA,NA,19.3,NA,0,54,54,54,56,54,53,53,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
State Totals,00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,911529,911465,NA,NA,NA,NA,NA,18.7,NA,21176,57531,63797,65329,65809,67009,67520,69383,71643,72334,73353,72925,71581,70499,1576,NA,NA,NA,NA,NA
Stoneham,02840000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45608576.04,2243,2254,10406.15201,445.0527582,892.8978557,1507.36157,3846.835651,20.3,NA,60,172,173,174,176,181,176,163,197,172,148,145,139,178,0,10,4,185173,185673,3
Stoughton,02850000,0.01,0.015,0.015,NA,69467,70255,71309,48166,46859,47561,95900,97338,98798,NA,62972188.99,3477,3386,11074.39012,355.0118795,1433.1526,1216.672193,1969.45919,17,0.7,80,227,251,233,243,242,267,250,268,290,290,242,232,264,7,2,2,173500,175000,3
Sturbridge,02870000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15652224,846,792,10145.87622,503.5226264,1058.327418,862.7950311,1955.024401,14.2,NA,40,91,106,97,110,123,115,110,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Sturgis Charter Public (District),04890000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13398752,846,853,NA,NA,NA,NA,NA,13.7,NA,0,0,0,0,0,0,0,0,0,0,211,231,216,195,0,NA,NA,NA,NA,NA
Sudbury,02880000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48654119,2517,2521,12265.83818,379.920138,1026.725657,863.8813693,2708.193169,17.7,NA,39,199,284,258,263,277,291,278,293,339,0,0,0,0,0,3,3,184638,201638,2
Sunderland,02890000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3878300.38,188,184,12803.69784,516.7011231,659.2299641,1389.220665,1646.212758,21.2,NA,12,17,24,26,28,29,35,13,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Sutton,02900000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22336057.89,1209,1279,9211.823179,485.4857761,1793.279481,1488.642716,2289.352191,18.1,NA,36,82,82,105,97,78,109,103,102,118,90,91,98,88,0,10,10,182000,NA,5
Swampscott,02910000,0.02,0.02,NA,NA,69562,70530,NA,47444,48274,NA,94702,96359,NA,NA,40073070.22,2041,2132,10243.44302,715.3998377,1041.522629,1211.974847,2927.396322,17.5,NA,40,131,157,147,150,146,152,153,172,184,161,156,191,191,1,7,7,186892,193392,5
Swansea,02920000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30394967.48,2013,2016,7920.110537,518.8618427,1343.585118,1335.306174,2639.928567,12.8,NA,38,132,148,142,161,161,144,176,175,189,167,118,126,135,4,5,5,162000,167500,5
Tantasqua,07700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27098831,1789,1771,9142.572739,470.4722471,1645.002798,1498.790846,2167.910698,12.3,NA,0,0,0,0,0,0,0,0,299,286,310,304,285,286,1,14,9,210000,212000,2
